ID,1,2,3,Result
1,50,69,68,187
2,62,86,44,192
3,58,66,60,184
4,70,51,39,160
5,72,92,43,207
6,62,42,40,144
7,50,69,66,185
8,58,72,40,170
9,34,54,35,123
10,30,36,54,120
11,72,76,42,190
12,58,40,38,136
13,50,66,55,171
14,46,69,42,157
15,58,82,39,179
16,62,78,41,181
17,62,54,26,142
18,76,40,60,176
19,42,63,50,155
20,38,40,44,122
21,38,57,54,149
22,80,72,37,189
23,62,60,37,159
24,42,60,33,135
25,76,63,42,181
26,58,48,38,144
27,50,72,37,159
28,66,63,39,168
29,42,80,42,164
30,54,63,40,157
31,62,74,41,177
32,54,72,47,173
33,54,72,47,173
34,54,80,35,169
35,42,63,47,152
36,72,78,35,185
37,62,80,58,200
38,42,66,40,148
39,70,40,51,161
40,38,54,28,120
41,66,90,31,187
42,46,60,32,138
43,70,54,49,173
44,58,76,41,175
45,62,60,47,169
46,42,46,35,123
47,42,63,31,136
48,54,76,28,158
49,54,86,66,206
50,72,60,50,182
51,54,57,39,150
52,62,82,74,218
53,34,66,49,149
54,70,51,34,155
55,58,44,30,132
56,54,51,41,146
57,76,78,32,186
58,70,40,26,136
59,72,76,51,199
60,70,46,47,163
61,74,69,49,192
62,66,66,43,175
63,62,46,62,170
64,62,72,34,168
65,70,82,31,183
66,72,80,38,190
67,26,80,37,143
68,50,54,45,149
69,26,69,43,138
70,42,54,43,139
71,38,54,49,141
72,58,40,37,135
73,66,80,49,195
74,74,69,52,195
75,70,32,31,133
76,62,84,55,201
77,82,57,49,188
78,42,82,48,172
79,62,46,57,165
80,66,46,33,145
81,70,44,38,152
82,70,82,37,189
83,58,69,32,159
84,88,46,42,176
85,58,54,42,154
86,58,57,43,158
87,70,78,31,179
88,86,51,73,210
89,76,76,39,191
90,50,31,47,128
91,84,80,60,224
92,70,72,59,201
93,66,29,55,150
94,66,48,35,149
95,46,76,56,178
96,72,69,42,183
97,50,80,26,156
98,38,63,40,141
99,74,82,40,196
100,74,72,48,194
101,58,51,52,161
102,62,57,45,164
103,42,48,37,127
104,70,78,52,200
105,34,74,45,153
106,66,72,48,186
107,76,60,74,210
108,58,80,56,194
